Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
R_CAPACITOR,86.52,60.7,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,27.99,107.95,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,77.37,27.54,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,52.49,107.7,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,152.65,12,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,64.71,12,0,,SJ,
TP1,59.56,86.7,0,TPTP20R,TP20R,
TP10,36.9,10.02,0,TPTP20R,TP20R,
TP11,42.94,9.9,0,TPTP20R,TP20R,
TP12,55.25,71.32,0,TPTP20R,TP20R,
TP13,60.6,71.32,0,TPTP20R,TP20R,
TP14,146.65,62.32,0,TPTP20R,TP20R,
TP15,77.8,98.82,0,TPTP20R,TP20R,
TP16,73.05,99.02,0,TPTP20R,TP20R,
TP17,131.39,4.8,0,TPTP20R,TP20R,
TP2,64.58,86.6,0,TPTP20R,TP20R,
TP3,140.3,62.4,0,TPTP20R,TP20R,
TP4,67.82,98.6,0,TPTP20R,TP20R,
TP5,54.54,86.6,0,TPTP20R,TP20R,
TP6,48.46,9.4,0,TPTP20R,TP20R,
TP7,126.28,4.9,0,TPTP20R,TP20R,
TP8,121.2,4.9,0,TPTP20R,TP20R,
TP9,116.12,4.9,0,TPTP20R,TP20R,
U1,40.43,52.36,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,16.1,53.22,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,81.96,53.91,270,DS3231SN#,SOIC127P1032X265-16N,
U4,138.08,53.01,0,MAX17048G+T10,SON50P200X200X80-9N,
